region,variable,year,value
ABAG/MTC,BIRTHS,2010,21745.0
ABAG/MTC,BIRTHS,2011,87984.0
ABAG/MTC,BIRTHS,2012,86094.0
ABAG/MTC,BIRTHS,2013,88005.0
ABAG/MTC,BIRTHS,2014,87212.0
ABAG/MTC,BIRTHS,2015,88141.0
ABAG/MTC,BIRTHS,2016,87528.0
ABAG/MTC,BIRTHS,2017,85467.0
ABAG/MTC,BIRTHS,2018,82406.0
ABAG/MTC,BIRTHS,2019,81321.0
ABAG/MTC,BIRTHS,2020,80467.0
ABAG/MTC,BIRTHS,2021,75029.0
ABAG/MTC,BIRTHS,2022,77244.0
ABAG/MTC,DEATHS,2010,-10844.0
ABAG/MTC,DEATHS,2011,-45541.0
ABAG/MTC,DEATHS,2012,-45481.0
ABAG/MTC,DEATHS,2013,-46797.0
ABAG/MTC,DEATHS,2014,-45971.0
ABAG/MTC,DEATHS,2015,-47864.0
ABAG/MTC,DEATHS,2016,-48290.0
ABAG/MTC,DEATHS,2017,-49562.0
ABAG/MTC,DEATHS,2018,-49956.0
ABAG/MTC,DEATHS,2019,-51334.0
ABAG/MTC,DEATHS,2020,-58042.0
ABAG/MTC,DEATHS,2021,-59008.0
ABAG/MTC,DEATHS,2022,-53936.0
ABAG/MTC,DOMESTICMIG,2010,-3399.0
ABAG/MTC,DOMESTICMIG,2011,4311.0
ABAG/MTC,DOMESTICMIG,2012,14848.0
ABAG/MTC,DOMESTICMIG,2013,17933.0
ABAG/MTC,DOMESTICMIG,2014,11508.0
ABAG/MTC,DOMESTICMIG,2015,-2201.0
ABAG/MTC,DOMESTICMIG,2016,-30839.0
ABAG/MTC,DOMESTICMIG,2017,-49971.0
ABAG/MTC,DOMESTICMIG,2018,-55400.0
ABAG/MTC,DOMESTICMIG,2019,-66631.0
ABAG/MTC,DOMESTICMIG,2020,-86461.0
ABAG/MTC,DOMESTICMIG,2021,-199998.0
ABAG/MTC,DOMESTICMIG,2022,-130144.0
ABAG/MTC,INTERNATIONALMIG,2010,7121.0
ABAG/MTC,INTERNATIONALMIG,2011,37467.0
ABAG/MTC,INTERNATIONALMIG,2012,37091.0
ABAG/MTC,INTERNATIONALMIG,2013,42796.0
ABAG/MTC,INTERNATIONALMIG,2014,48682.0
ABAG/MTC,INTERNATIONALMIG,2015,56759.0
ABAG/MTC,INTERNATIONALMIG,2016,51337.0
ABAG/MTC,INTERNATIONALMIG,2017,45367.0
ABAG/MTC,INTERNATIONALMIG,2018,33080.0
ABAG/MTC,INTERNATIONALMIG,2019,21177.0
ABAG/MTC,INTERNATIONALMIG,2020,16980.0
ABAG/MTC,INTERNATIONALMIG,2021,17348.0
ABAG/MTC,INTERNATIONALMIG,2022,47534.0
ABAG/MTC,RESIDUAL,2010,-378.0
ABAG/MTC,RESIDUAL,2011,-110.0
ABAG/MTC,RESIDUAL,2012,-484.0
ABAG/MTC,RESIDUAL,2013,-289.0
ABAG/MTC,RESIDUAL,2014,-353.0
ABAG/MTC,RESIDUAL,2015,-375.0
ABAG/MTC,RESIDUAL,2016,-160.0
ABAG/MTC,RESIDUAL,2017,-142.0
ABAG/MTC,RESIDUAL,2018,-137.0
ABAG/MTC,RESIDUAL,2019,-46.0
ABAG/MTC,RESIDUAL,2020,-75.0
ABAG/MTC,RESIDUAL,2021,-9337.0
ABAG/MTC,RESIDUAL,2022,1467.0
AMBAG,BIRTHS,2010,2671.0
AMBAG,BIRTHS,2011,10868.0
AMBAG,BIRTHS,2012,10689.0
AMBAG,BIRTHS,2013,10281.0
AMBAG,BIRTHS,2014,10080.0
AMBAG,BIRTHS,2015,10155.0
AMBAG,BIRTHS,2016,9996.0
AMBAG,BIRTHS,2017,9441.0
AMBAG,BIRTHS,2018,9107.0
AMBAG,BIRTHS,2019,9154.0
AMBAG,BIRTHS,2020,9009.0
AMBAG,BIRTHS,2021,8364.0
AMBAG,BIRTHS,2022,8616.0
AMBAG,DEATHS,2010,-993.0
AMBAG,DEATHS,2011,-4292.0
AMBAG,DEATHS,2012,-4327.0
AMBAG,DEATHS,2013,-4512.0
AMBAG,DEATHS,2014,-4419.0
AMBAG,DEATHS,2015,-4502.0
AMBAG,DEATHS,2016,-4671.0
AMBAG,DEATHS,2017,-4714.0
AMBAG,DEATHS,2018,-4743.0
AMBAG,DEATHS,2019,-4855.0
AMBAG,DEATHS,2020,-5371.0
AMBAG,DEATHS,2021,-5828.0
AMBAG,DEATHS,2022,-5375.0
AMBAG,DOMESTICMIG,2010,656.0
AMBAG,DOMESTICMIG,2011,-297.0
AMBAG,DOMESTICMIG,2012,-574.0
AMBAG,DOMESTICMIG,2013,-1307.0
AMBAG,DOMESTICMIG,2014,-2002.0
AMBAG,DOMESTICMIG,2015,-1685.0
AMBAG,DOMESTICMIG,2016,-1439.0
AMBAG,DOMESTICMIG,2017,-3507.0
AMBAG,DOMESTICMIG,2018,-4504.0
AMBAG,DOMESTICMIG,2019,-3177.0
AMBAG,DOMESTICMIG,2020,-7452.0
AMBAG,DOMESTICMIG,2021,-11251.0
AMBAG,DOMESTICMIG,2022,-4406.0
AMBAG,INTERNATIONALMIG,2010,54.0
AMBAG,INTERNATIONALMIG,2011,63.0
AMBAG,INTERNATIONALMIG,2012,266.0
AMBAG,INTERNATIONALMIG,2013,536.0
AMBAG,INTERNATIONALMIG,2014,792.0
AMBAG,INTERNATIONALMIG,2015,1266.0
AMBAG,INTERNATIONALMIG,2016,1377.0
AMBAG,INTERNATIONALMIG,2017,462.0
AMBAG,INTERNATIONALMIG,2018,-238.0
AMBAG,INTERNATIONALMIG,2019,-559.0
AMBAG,INTERNATIONALMIG,2020,-334.0
AMBAG,INTERNATIONALMIG,2021,331.0
AMBAG,INTERNATIONALMIG,2022,1078.0
AMBAG,RESIDUAL,2010,20.0
AMBAG,RESIDUAL,2011,-18.0
AMBAG,RESIDUAL,2012,-137.0
AMBAG,RESIDUAL,2013,4.0
AMBAG,RESIDUAL,2014,-31.0
AMBAG,RESIDUAL,2015,-24.0
AMBAG,RESIDUAL,2016,-30.0
AMBAG,RESIDUAL,2017,-6.0
AMBAG,RESIDUAL,2018,7.0
AMBAG,RESIDUAL,2019,3.0
AMBAG,RESIDUAL,2020,-19.0
